id,dataset,source_file,source_line_no,processed_file,original_id,question,choices,correct_answer,predicted_label,predicted_label_name,reason,classifier_model
gold_000011,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,576,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000576,Which fundamental security issue is critical for a modern operating system to handle in a multi-user environment?,A) Firewall management | B) Malware protection | C) Intrusion detection | D) Memory protection,A,SCLC00701,Foundational concepts,Memory protection in multi-user OS environments is a core foundational security concept covering isolation and access control principles.,anthropic/claude-sonnet-4.6
gold_000012,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,71,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000071,What is the loopback address in IPv6?,A) 0.0.0.0 | B) 0:0:0:0:0:0:0:1 | C) 127.0.0.1 | D) ::1,A,SCLC00701,Foundational concepts,IPv6 loopback address is a core networking/security vocabulary concept.,anthropic/claude-sonnet-4.6
gold_000013,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,925,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000925,What is the primary purpose of federated identity management?,A) Secure encryption of user credentials | B) Centralized access control for a single enterprise | C) Scalable user authentication across multiple enterprises | D) Isolating user identity data within individual applications,A,SCLC00901,Authentication/Authorization,Federated identity management is a cross-domain authentication and access control concept involving identity sharing across systems.,anthropic/claude-sonnet-4.6
gold_000014,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1024,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001024,What is the purpose of the Security Parameters Index (SPI) in IPsec?,A) It uniquely identifies the sender of the packet. | B) It indicates the level of encryption for the IP packet. | C) It indicates whether the association is an AH or ESP security association. | D) It enables the receiving system to select the Security Association (SA) under which a received packet will be processed.,A,SCLC00701,Foundational concepts,"The question asks about IPsec SPI functionality, a core network security protocol concept and vocabulary.",anthropic/claude-sonnet-4.6
gold_000015,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1211,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001211,Which framework is primarily concerned with audit measures and points that can be measured and demonstrated?,A) ISO 27001 | B) Common Criteria | C) COBIT | D) BS 7799,A,SCLC01001,Regulatory/Legal,"The question addresses compliance frameworks (ISO 27001, COBIT, Common Criteria) focused on audit measures and demonstrable controls.",anthropic/claude-sonnet-4.6
gold_000016,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,267,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000267,What is the main purpose of server enumeration in the context of cybersecurity?,A) Determining what services are running and extracting information from those services | B) Scanning for system vulnerabilities | C) Identifying network protocols and port numbers | D) Extracting user information from a network,A,SCLC00701,Foundational concepts,Server enumeration is a core cybersecurity reconnaissance concept involving identifying active services and extracting information.,anthropic/claude-sonnet-4.6
gold_000017,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,732,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000732,What is the purpose of Perfect Forward Secrecy (PFS) in IPsec?,A) To negotiate and manage security associations | B) To provide confidentiality for packet payloads | C) To compress IP payloads for efficient transmission | D) To protect against the use of compromised old keys,A,SCLC02201,Secure communication,"PFS in IPsec ensures session keys remain secure even if long-term keys are compromised, a core encrypted communication concept.",anthropic/claude-sonnet-4.6
gold_000018,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1541,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001541,What is a good practice for choosing a coding language for secure development?,A) Choose a popular language | B) Consider the strengths and weaknesses of the language used | C) Select the language with the most features | D) Use multiple coding languages in the same application,A,SCLC02401,App security,Choosing a coding language for secure development directly relates to application-level security practices and vulnerabilities.,anthropic/claude-sonnet-4.6
gold_000019,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,418,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000418,"In a multitier application design, where is the business logic typically found?",A) Client | B) Web Server | C) Database Server | D) Application Server,A,SCLC02401,App security,Multitier application architecture and business logic placement are core application security and design concepts.,anthropic/claude-sonnet-4.6
gold_000020,mmlu/computer_security,data/raw/huggingface/mmlu/computer_security/test.jsonl,44,data/processed/qwen_combined/mmlu/computer_security/test.jsonl,scale_c_000165,Which of the following are most vulnerable to injection attacks?,A) Session IDs | B) Registry keys | C) Network communications | D) SQL queries based on user input,D,SCLC02401,App security,"SQL injection attacks target application-layer input handling, a core application security vulnerability.",anthropic/claude-sonnet-4.6
gold_000021,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1536,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001536,What is the most important factor that affects the security concern in the design phase of a software development effort?,A) Cost-benefit analysis | B) Network's vulnerability | C) Historical security concerns | D) Project manager's expertise,A,SCLC02401,App security,"The question addresses security considerations during the software development design phase, which is core to application security.",anthropic/claude-sonnet-4.6
gold_000022,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,364,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000364,"What type of attack uses Wireshark to capture network traffic, including radio headers, to gather information about wireless networks?",A) Sniffing | B) Key Reinstallation Attack | C) Deauthentication Attack | D) Evil Twin attack,A,SCLC00801,Infrastructure protection,The question covers wireless network traffic capture and attack types targeting network infrastructure using packet analysis tools.,anthropic/claude-sonnet-4.6
gold_000023,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,583,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000583,What does UDP provide in terms of packet delivery?,A) Reliable delivery and network-wide congestion control. | B) Network-wide congestion control. | C) Minimal overhead and no assurance of packets arriving in order or not being corrupted. | D) Assurance that packets arrive in order and are not corrupted.,A,SCLC00701,Foundational concepts,UDP packet delivery characteristics are core networking/security vocabulary and foundational protocol concepts.,anthropic/claude-sonnet-4.6
gold_000024,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,841,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000841,What is the purpose of optimal asymmetric encryption padding (OAEP) in RSA?,A) To randomize the ciphertext | B) To prevent timing attacks | C) To counter chosen ciphertext attacks and provide secure padding to the message before encryption | D) To add a unique pseudorandom bit string as padding to each instance of the message encrypted,A,SCLC00701,Foundational concepts,OAEP in RSA is a core cryptographic concept covering encryption padding schemes and security principles.,anthropic/claude-sonnet-4.6
gold_000025,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1033,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001033,What is used to perform modular exponentiation using fast algorithms in Sage?,A) LS1_data | B) S0_data | C) SDESKeySchedule | D) IntegerModRing,A,SCLC00701,Foundational concepts,Modular exponentiation in Sage relates to core cryptographic/mathematical concepts fundamental to security algorithms.,anthropic/claude-sonnet-4.6
gold_000026,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,774,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000774,What is the main objective of attacking an encryption system?,A) To recover the key in use | B) To recover the plaintext of a single ciphertext | C) Both A and B | D) Neither A nor B,A,SCLC01601,General theory,"The question addresses abstract cryptographic attack objectives, a core theoretical concept in security.",anthropic/claude-sonnet-4.6
gold_000027,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1278,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001278,"Which of the following refers to who, what, when, where, and how of the collected evidence over its entire life span?",A) Digital Evidence Life Cycle | B) Chain of Custody | C) Admissibility of Evidence | D) Incident Response Plan,A,SCLC00701,Foundational concepts,Chain of custody is a core forensic/security concept tracking evidence handling throughout its lifecycle.,anthropic/claude-sonnet-4.6
gold_000028,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,277,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000277,What does SNMPv1 use for authentication?,A) Challenge-response authentication | B) Biometric authentication | C) Community strings | D) Public key infrastructure,A,SCLC00901,Authentication/Authorization,"SNMPv1 community strings serve as its authentication mechanism, directly relating to identity proof and access control.",anthropic/claude-sonnet-4.6
gold_000029,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,402,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000402,What is Diffie-Hellman used for?,A) Key exchange | B) Key revocation | C) Key management | D) Key isolation,A,SCLC02201,Secure communication,Diffie-Hellman is a cryptographic key exchange protocol fundamental to establishing secure encrypted communication channels.,anthropic/claude-sonnet-4.6
gold_000030,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1639,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001639,Which attack involves injecting malicious code or SQL commands into input fields to gain unauthorized access to a system?,A) SQL injection | B) Modification attack | C) Replay attack | D) Spam attack,A,SCLC02401,App security,"SQL injection targets application input fields to execute malicious commands, a core application-level vulnerability.",anthropic/claude-sonnet-4.6
gold_000031,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,387,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000387,What concept refers to the strategy of adding multiple layers of protection to delay an attacker and provide different lines of defense?,A) Defense in Breadth | B) Unified Threat Management | C) Defense in Depth | D) Defensible Network Architecture,A,SCLC00701,Foundational concepts,Defense in Depth is a core security vocabulary term describing layered protection strategies.,anthropic/claude-sonnet-4.6
gold_000032,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1140,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001140,Which engagement factor should include having at least two levels for individual contributor positions?,A) Recognition when earned | B) Development of management skills | C) Continuing education | D) Opportunities for advancement,A,SCLC02301,Professional perspective,The question addresses career development and organizational engagement factors relevant to professional roles and advancement.,anthropic/claude-sonnet-4.6
gold_000033,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1700,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001700,What is a major concern related to password memorability?,A) Users choosing complex passwords | B) Users creating longer passwords | C) Users remembering passwords easily | D) Users writing down passwords,A,SCLC00101,Credential management,"The question directly addresses password memorability, a core credential management concern involving how users handle passwords.",anthropic/claude-sonnet-4.6
gold_000034,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,101,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000101,What is the best description of the difference between a phishing e-mail and a spear phishing e-mail?,A) A spear phishing e-mail is sent to random recipients; a phishing e-mail is sent to specific recipients. | B) A phishing e-mail is sent to an entire company; a spear phishing e-mail is sent to a specific person. | C) A phishing e-mail is sent to a specific person; a spear phishing e-mail is sent to an entire company. | D) A phishing e-mail is sent to random recipients; a spear phishing e-mail is sent to specific recipients.,A,SCLC00202,Email,"The question distinguishes phishing from spear phishing, both of which are email-based attack techniques.",anthropic/claude-sonnet-4.6
gold_000035,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,853,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000853,What is the primary function of a message authentication code (MAC)?,A) To authenticate and ensure the integrity of a message | B) To encrypt data | C) To produce a fixed-size value for a given input | D) To provide digital signatures,A,SCLC00701,Foundational concepts,MAC is a core cryptographic security concept covering message integrity and authentication fundamentals.,anthropic/claude-sonnet-4.6
gold_000036,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1248,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001248,What property of complex adaptive systems (CAS) describes how resources are transferred between agents within a system?,A) Convergence | B) Mimicry | C) Diversity | D) Flows,A,SCLC01601,General theory,The question addresses abstract systems theory concepts (complex adaptive systems) applied to security theoretical frameworks.,anthropic/claude-sonnet-4.6
gold_000037,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1663,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001663,What role does encryption play in achieving data confidentiality in cybersecurity?,A) It ensures that data is not altered or tampered with during transit | B) It provides authentication of users and devices in a network | C) It enables efficient routing of data packets in a network | D) It prevents unauthorized access to sensitive information,A,SCLC00701,Foundational concepts,"The question tests core security vocabulary around encryption's role in achieving data confidentiality, a fundamental cybersecurity principle.",anthropic/claude-sonnet-4.6
gold_000038,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,904,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000904,What is the process of establishing confidence in user identities presented electronically to an information system?,A) User authentication | B) Mutual authentication | C) Verification step | D) Identification step,A,SCLC00901,Authentication/Authorization,"The question directly asks about establishing confidence in user identities, which is the core definition of authentication.",anthropic/claude-sonnet-4.6
gold_000039,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1743,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001743,Which Intel processor feature caused controversy due to privacy concerns and its potential use in hardware-based digital rights management?,A) Trusted Platform Module (TPM) | B) Virtualization support | C) Processor serial number | D) Curtained memory features,A,SCLC01001,Regulatory/Legal,"The question addresses privacy concerns and digital rights management tied to hardware, involving legal and policy implications.",anthropic/claude-sonnet-4.6
gold_000040,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,390,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000390,What is the purpose of XML External Entity Processing?,A) To fill up connection buffers at the operating system | B) To validate input from the user | C) To manipulate the instruction pointer of the application | D) To gain access to underlying system functions and files using XML,A,SCLC02401,App security,XXE (XML External Entity) is an application-level vulnerability exploiting XML parsers to access system files and functions.,anthropic/claude-sonnet-4.6
gold_000041,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,345,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000345,Which attack leverages accessible Wi-Fi networks for capturing usernames and passwords?,A) Physical security attack | B) Wireless social engineering | C) Watering hole attack | D) Wired network attack,A,SCLC02601,Remote/Traveling security,"The question addresses Wi-Fi network risks for credential capture, a key concern when using public or accessible wireless networks while traveling.",anthropic/claude-sonnet-4.6
gold_000042,mmlu/computer_security,data/raw/huggingface/mmlu/computer_security/validation.jsonl,8,data/processed/qwen_combined/mmlu/computer_security/validation.jsonl,scale_c_000229,A hash function guarantees the integrity of a message. It guarantees that the message has not be,A) Replaced | B) Overview | C) Changed | D) Violated,C,SCLC00701,Foundational concepts,Hash functions and message integrity are core cryptographic security vocabulary and principles.,anthropic/claude-sonnet-4.6
gold_000043,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,818,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000818,Which algorithm has been prohibited for use in TLS by the IETF due to discovered vulnerabilities?,A) RC4 | B) 3DES | C) Blum Blum Shub | D) AES,A,SCLC01202,SSL certificates,"The question concerns TLS protocol cryptographic algorithms and their security, directly related to TLS/SSL transport security.",anthropic/claude-sonnet-4.6
gold_000044,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1081,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001081,What is an essential aspect of physical security in an organization?,"A) Asset inventory management | B) Biometric authentication | C) Security awareness training | D) A, B, and C each serve distinct functions, yet all three can be essential components of a comprehensive physical security strategy",A,SCLC00801,Infrastructure protection,"Physical security of organizational assets involves hardening and protecting systems, facilities, and infrastructure components.",anthropic/claude-sonnet-4.6
gold_000045,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1146,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001146,"At maturity level 3, which of the following is a characteristic of the security infrastructure and tools?",A) A basic set of tools has been implemented in the organization's network | B) Only the bare minimum of tools is deployed on the organization's network | C) A security event management tool set and process are not used to normalize and correlate alerts from log feeds | D) Tools have been deployed throughout the network providing a comprehensive set of preventive and detective controls,A,SCLC00801,Infrastructure protection,"The question addresses maturity levels of security infrastructure deployment, tools, and network-wide controls.",anthropic/claude-sonnet-4.6
gold_000046,mmlu/computer_security,data/raw/huggingface/mmlu/computer_security/test.jsonl,100,data/processed/qwen_combined/mmlu/computer_security/test.jsonl,scale_c_000221,Three of the following are classic security properties; which one is not?,A) Confidentiality | B) Availability | C) Correctness | D) Integrity,B,SCLC00701,Foundational concepts,"The question tests knowledge of the CIA triad, a core foundational security concept.",anthropic/claude-sonnet-4.6
gold_000047,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,792,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000792,Which of the following is NOT an axiom for a group?,A) Annihilation | B) Inverse element | C) Closure | D) Associative,A,SCLC01601,General theory,"This question tests abstract mathematical group theory axioms, foundational to cryptographic security theory.",anthropic/claude-sonnet-4.6
gold_000048,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,241,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000241,What is the primary role of nmap?,"A) Scan for vulnerabilities on webservers | B) Block malicious traffic from entering the network | C) Conduct network reconnaissance and identify live hosts, open ports, and services running on the hosts | D) Encrypt communication channels",A,SCLC00701,Foundational concepts,"Nmap is a core security tool concept covering network reconnaissance, a fundamental cybersecurity principle.",anthropic/claude-sonnet-4.6
gold_000049,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1599,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001599,Which area of network security is confidentiality related to?,A) Authentication | B) Integrity | C) Confidentiality | D) Availability,A,SCLC00701,Foundational concepts,"The question tests core security vocabulary around the CIA triad (confidentiality, integrity, availability) and authentication.",anthropic/claude-sonnet-4.6
gold_000050,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1642,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001642,Which type of attack involves an unauthorized user gaining access to a system by exploiting weak keys or encryption algorithms?,A) Eavesdropping | B) Passive attack | C) Social engineering | D) Weak keys attack,A,SCLC00701,Foundational concepts,The question tests core security vocabulary around cryptographic attack types and their definitions.,anthropic/claude-sonnet-4.6
gold_000051,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,256,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000256,What does the QoD column in vulnerability scanning tools represent?,A) Quality of Detection | B) Quality of Devices | C) Quantity of Data | D) Quick Operation Duration,A,SCLC00701,Foundational concepts,QoD (Quality of Detection) is a core vocabulary term used in vulnerability scanning tools and security fundamentals.,anthropic/claude-sonnet-4.6
gold_000052,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,357,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000357,"In WPA2, what does the Group Temporal Key (GTK) primarily function as?",A) For user-level authentication | B) For broadcast or multicast traffic | C) Key for the four-way handshake | D) Individual packet encryption key,A,SCLC00701,Foundational concepts,GTK in WPA2 is a core wireless security concept covering encryption key roles and protocol fundamentals.,anthropic/claude-sonnet-4.6
gold_000053,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,765,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000765,"In the context of cybersecurity, what does the term 'availability' refer to?","A) The assurance that data is received as sent with no duplication, insertion, modification, or replays. | B) The property of a system being accessible and usable upon demand by an authorized entity. | C) The ability to limit and control access to host systems and applications via communications links. | D) The protection of transmitted data from passive attacks.",A,SCLC00701,Foundational concepts,"Availability is a core CIA triad principle, fundamental cybersecurity vocabulary.",anthropic/claude-sonnet-4.6
gold_000054,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,838,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000838,"In the RSA public-key encryption scheme, what does the value 'n' represent?",A) The public key | B) The exponent | C) The private key | D) The modulus,A,SCLC01601,General theory,RSA encryption mechanics and mathematical components are abstract cryptographic theory concepts.,anthropic/claude-sonnet-4.6
gold_000055,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1448,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_001448,What measure can be taken to improve the physical security of a UNIX workstation?,A) Disabling regular backups | B) Enabling BIOS password | C) Limiting traffic analysis tools | D) Running automatic update services,A,SCLC00801,Infrastructure protection,Enabling BIOS password is a system hardening measure to protect physical access to a UNIX workstation.,anthropic/claude-sonnet-4.6
gold_000056,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,388,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000388,What is the term used for the technique of storing shellcode in multiple places in the heap and redirecting the return address there?,A) Heap Spraying | B) Application Exploitation | C) Privilege Escalation | D) Buffer Overflow,A,SCLC02401,App security,Heap spraying is an application-level exploitation technique targeting memory allocation to execute shellcode.,anthropic/claude-sonnet-4.6
gold_000057,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,928,data/processed/qwen_combined/CyberMetric/CyberMetric-10000-v1.jsonl,scale_c_000928,"In public-key encryption for one-way authentication, what is the function of the digital signature?",A) To decrypt the message sent by the sender | B) To authenticate the sender to the recipient | C) To allow the recipient to decrypt the entire message with the sender's public key | D) To encrypt the message for confidentiality,A,SCLC00701,Foundational concepts,Digital signatures and public-key encryption are core cryptographic security vocabulary and principles.,anthropic/claude-sonnet-4.6
