id,dataset,source_file,source_line_no,question,correct_answer,gold_topic_id,gold_topic_name,gold_coarse_id,gold_coarse_name,gold_reason,embedding_topic_id,embedding_topic_name,embedding_coarse_id,embedding_coarse_name,embedding_model,embedding_matched,embedding_topic_id_match,embedding_topic_name_match,embedding_coarse_id_match,embedding_coarse_name_match,nli_topic_id,nli_topic_name,nli_coarse_id,nli_coarse_name,nli_model,nli_matched,nli_topic_id_match,nli_topic_name_match,nli_coarse_id_match,nli_coarse_name_match
gold_000013,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,925,What is the primary purpose of federated identity management?,A,SCLC00901,Authentication/Authorization,SLCA002,Identity & access,Federated identity management is a cross-domain authentication and access control concept involving identity sharing across systems.,SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000014,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1024,What is the purpose of the Security Parameters Index (SPI) in IPsec?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,"The question asks about IPsec SPI functionality, a core network security protocol concept and vocabulary.",SCLC02501,Behavioral security,SLCA003,Human & social threats,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000015,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1211,Which framework is primarily concerned with audit measures and points that can be measured and demonstrated?,A,SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,"The question addresses compliance frameworks (ISO 27001, COBIT, Common Criteria) focused on audit measures and demonstrable controls.",SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,yes,yes,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000016,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,267,What is the main purpose of server enumeration in the context of cybersecurity?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,Server enumeration is a core cybersecurity reconnaissance concept involving identifying active services and extracting information.,SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC00401,General hygiene,SLCA004,Defensive controls & hygiene,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000017,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,732,What is the purpose of Perfect Forward Secrecy (PFS) in IPsec?,A,SCLC02201,Secure communication,SLCA005,Network & secure comms,"PFS in IPsec ensures session keys remain secure even if long-term keys are compromised, a core encrypted communication concept.",SCLC00301,Defensive measures,SLCA004,Defensive controls & hygiene,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000018,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1541,What is a good practice for choosing a coding language for secure development?,A,SCLC02401,App security,SLCA007,Applications & workplace,Choosing a coding language for secure development directly relates to application-level security practices and vulnerabilities.,SCLC02501,Behavioral security,SLCA003,Human & social threats,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000019,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,418,"In a multitier application design, where is the business logic typically found?",A,SCLC02401,App security,SLCA007,Applications & workplace,Multitier application architecture and business logic placement are core application security and design concepts.,SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000020,mmlu/computer_security,data/raw/huggingface/mmlu/computer_security/test.jsonl,44,Which of the following are most vulnerable to injection attacks?,D,SCLC02401,App security,SLCA007,Applications & workplace,"SQL injection attacks target application-layer input handling, a core application security vulnerability.",SCLC01601,General theory,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000021,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1536,What is the most important factor that affects the security concern in the design phase of a software development effort?,A,SCLC02401,App security,SLCA007,Applications & workplace,"The question addresses security considerations during the software development design phase, which is core to application security.",SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000022,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,364,"What type of attack uses Wireshark to capture network traffic, including radio headers, to gather information about wireless networks?",A,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,The question covers wireless network traffic capture and attack types targeting network infrastructure using packet analysis tools.,SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000023,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,583,What does UDP provide in terms of packet delivery?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,UDP packet delivery characteristics are core networking/security vocabulary and foundational protocol concepts.,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000024,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,841,What is the purpose of optimal asymmetric encryption padding (OAEP) in RSA?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,OAEP in RSA is a core cryptographic concept covering encryption padding schemes and security principles.,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000025,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1033,What is used to perform modular exponentiation using fast algorithms in Sage?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,Modular exponentiation in Sage relates to core cryptographic/mathematical concepts fundamental to security algorithms.,SCLC02301,Professional perspective,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000026,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,774,What is the main objective of attacking an encryption system?,A,SCLC01601,General theory,SLCA001,Fundamentals & governance,"The question addresses abstract cryptographic attack objectives, a core theoretical concept in security.",SCLC00301,Defensive measures,SLCA004,Defensive controls & hygiene,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000027,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1278,"Which of the following refers to who, what, when, where, and how of the collected evidence over its entire life span?",A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,Chain of custody is a core forensic/security concept tracking evidence handling throughout its lifecycle.,SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000028,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,277,What does SNMPv1 use for authentication?,A,SCLC00901,Authentication/Authorization,SLCA002,Identity & access,"SNMPv1 community strings serve as its authentication mechanism, directly relating to identity proof and access control.",SCLC00301,Defensive measures,SLCA004,Defensive controls & hygiene,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000029,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,402,What is Diffie-Hellman used for?,A,SCLC02201,Secure communication,SLCA005,Network & secure comms,Diffie-Hellman is a cryptographic key exchange protocol fundamental to establishing secure encrypted communication channels.,SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000030,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1639,Which attack involves injecting malicious code or SQL commands into input fields to gain unauthorized access to a system?,A,SCLC02401,App security,SLCA007,Applications & workplace,"SQL injection targets application input fields to execute malicious commands, a core application-level vulnerability.",SCLC02601,Remote/Traveling security,SLCA007,Applications & workplace,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,yes,yes,SCLC00501,Psychological manipulation,SLCA003,Human & social threats,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000031,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,387,What concept refers to the strategy of adding multiple layers of protection to delay an attacker and provide different lines of defense?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,Defense in Depth is a core security vocabulary term describing layered protection strategies.,SCLC02501,Behavioral security,SLCA003,Human & social threats,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000032,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1140,Which engagement factor should include having at least two levels for individual contributor positions?,A,SCLC02301,Professional perspective,SLCA001,Fundamentals & governance,The question addresses career development and organizational engagement factors relevant to professional roles and advancement.,SCLC00301,Defensive measures,SLCA004,Defensive controls & hygiene,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000033,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1700,What is a major concern related to password memorability?,A,SCLC00101,Credential management,SLCA002,Identity & access,"The question directly addresses password memorability, a core credential management concern involving how users handle passwords.",SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000034,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,101,What is the best description of the difference between a phishing e-mail and a spear phishing e-mail?,A,SCLC00202,Email,SLCA003,Human & social threats,"The question distinguishes phishing from spear phishing, both of which are email-based attack techniques.",SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000035,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,853,What is the primary function of a message authentication code (MAC)?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,MAC is a core cryptographic security concept covering message integrity and authentication fundamentals.,SCLC02501,Behavioral security,SLCA003,Human & social threats,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000036,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1248,What property of complex adaptive systems (CAS) describes how resources are transferred between agents within a system?,A,SCLC01601,General theory,SLCA001,Fundamentals & governance,The question addresses abstract systems theory concepts (complex adaptive systems) applied to security theoretical frameworks.,SCLC00301,Defensive measures,SLCA004,Defensive controls & hygiene,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000037,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1663,What role does encryption play in achieving data confidentiality in cybersecurity?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,"The question tests core security vocabulary around encryption's role in achieving data confidentiality, a fundamental cybersecurity principle.",SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000038,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,904,What is the process of establishing confidence in user identities presented electronically to an information system?,A,SCLC00901,Authentication/Authorization,SLCA002,Identity & access,"The question directly asks about establishing confidence in user identities, which is the core definition of authentication.",SCLC02101,Advanced malware types,SLCA006,Malware & advanced threats,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC00401,General hygiene,SLCA004,Defensive controls & hygiene,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000039,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1743,Which Intel processor feature caused controversy due to privacy concerns and its potential use in hardware-based digital rights management?,A,SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,"The question addresses privacy concerns and digital rights management tied to hardware, involving legal and policy implications.",SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,yes,yes,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000040,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,390,What is the purpose of XML External Entity Processing?,A,SCLC02401,App security,SLCA007,Applications & workplace,XXE (XML External Entity) is an application-level vulnerability exploiting XML parsers to access system files and functions.,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000041,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,345,Which attack leverages accessible Wi-Fi networks for capturing usernames and passwords?,A,SCLC02601,Remote/Traveling security,SLCA007,Applications & workplace,"The question addresses Wi-Fi network risks for credential capture, a key concern when using public or accessible wireless networks while traveling.",SCLC00601,Internal risks,SLCA007,Applications & workplace,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000042,mmlu/computer_security,data/raw/huggingface/mmlu/computer_security/validation.jsonl,8,A hash function guarantees the integrity of a message. It guarantees that the message has not be,C,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,Hash functions and message integrity are core cryptographic security vocabulary and principles.,SCLC01001,Regulatory/Legal,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000043,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,818,Which algorithm has been prohibited for use in TLS by the IETF due to discovered vulnerabilities?,A,SCLC01202,SSL certificates,SLCA005,Network & secure comms,"The question concerns TLS protocol cryptographic algorithms and their security, directly related to TLS/SSL transport security.",SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000044,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1081,What is an essential aspect of physical security in an organization?,A,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,"Physical security of organizational assets involves hardening and protecting systems, facilities, and infrastructure components.",SCLC02301,Professional perspective,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000045,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1146,"At maturity level 3, which of the following is a characteristic of the security infrastructure and tools?",A,SCLC00801,Infrastructure protection,SLCA005,Network & secure comms,"The question addresses maturity levels of security infrastructure deployment, tools, and network-wide controls.",SCLC00301,Defensive measures,SLCA004,Defensive controls & hygiene,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000046,mmlu/computer_security,data/raw/huggingface/mmlu/computer_security/test.jsonl,100,Three of the following are classic security properties; which one is not?,B,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,"The question tests knowledge of the CIA triad, a core foundational security concept.",SCLC02601,Remote/Traveling security,SLCA007,Applications & workplace,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000047,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,792,Which of the following is NOT an axiom for a group?,A,SCLC01601,General theory,SLCA001,Fundamentals & governance,"This question tests abstract mathematical group theory axioms, foundational to cryptographic security theory.",SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000048,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,241,What is the primary role of nmap?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,"Nmap is a core security tool concept covering network reconnaissance, a fundamental cybersecurity principle.",SCLC02801,Other,SLCA008,Other,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000049,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1599,Which area of network security is confidentiality related to?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,"The question tests core security vocabulary around the CIA triad (confidentiality, integrity, availability) and authentication.",SCLC02601,Remote/Traveling security,SLCA007,Applications & workplace,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,no,no,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
gold_000050,CyberMetric,data/raw/huggingface/CyberMetric/CyberMetric-10000-v1.jsonl,1642,Which type of attack involves an unauthorized user gaining access to a system by exploiting weak keys or encryption algorithms?,A,SCLC00701,Foundational concepts,SLCA001,Fundamentals & governance,The question tests core security vocabulary around cryptographic attack types and their definitions.,SCLC02301,Professional perspective,SLCA001,Fundamentals & governance,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,yes,no,no,yes,yes,SCLC02801,Other,SLCA008,Other,sknow-lab/Qwen2.5-14B-CIC-ACLARC,yes,no,no,no,no
